"Split","In_Best_X","p_mutation","sigma_end","Score"
"0.9","1.0","0.8","0.0031999999999999984","9.999819471165303"
"0.9","1.0","0.8","0.0032999999999999982","9.999834298353838"
"0.9","1.0","0.8","0.003399999999999998","9.999803044580432"
"0.9","1.0","0.8","0.003499999999999998","9.99979327066002"
"0.9","1.0","0.8","0.0035999999999999977","9.999793898861686"
"0.9","1.0","0.8","0.0036999999999999976","9.999817044457483"
"0.9","1.0","0.8","0.0037999999999999974","9.99982248521177"
"0.9","1.0","0.8","0.0038999999999999972","9.999803890179487"
"0.9","1.0","0.8","0.0039999999999999975","9.999818832720557"
"0.9","1.0","0.8","0.004099999999999998","9.999806878551928"
"0.9","1.0","0.8","0.004199999999999998","9.999814795651702"
"0.9","1.0","0.8","0.004299999999999998","9.99979835632985"
"0.9","1.0","0.8","0.0043999999999999985","9.999794509075514"
"0.9","1.0","0.8","0.004499999999999999","9.999798776246601"
"0.9","1.0","0.8","0.004599999999999999","9.999799544467383"
"0.9","1.0","0.8","0.004699999999999999","9.999792982254913"
"0.9","1.0","0.8","0.0048","9.999777167833244"
"0.9","1.0","0.8","0.0049","9.999796223067571"
"0.9","1.0","0.8","0.005","9.999779200263058"
"0.9","1.0","0.8","0.0051","9.999790535665595"
"0.9","1.0","0.8","0.005200000000000001","9.999779956406437"
"0.9","1.0","0.8","0.005300000000000001","9.999759317385127"
"0.9","1.0","0.8","0.005400000000000001","9.999801187467284"
"0.9","1.0","0.8","0.005500000000000001","9.999809639856544"
"0.9","1.0","0.8","0.005600000000000002","9.999791838633026"
"0.9","1.0","0.8","0.005700000000000002","9.999751593007343"
"0.9","1.0","0.8","0.005800000000000002","9.999779199639168"
"0.9","1.0","0.8","0.0059000000000000025","9.99974822118439"
"0.9","1.0","0.8","0.006000000000000003","9.999808920407785"
"0.9","1.0","0.8","0.006100000000000003","9.999785281276708"
"0.9","1.0","0.8","0.006200000000000003","9.99973558185291"
"0.9","1.0","0.8","0.0063000000000000035","9.99972004644277"
"0.9","1.0","0.8","0.006400000000000004","9.999751310927014"
"0.9","1.0","0.8","0.006500000000000004","9.999738357109617"
"0.9","1.0","0.8","0.006600000000000004","9.999697870513822"
"0.9","1.0","0.8","0.0067000000000000046","9.999768789572379"
"0.9","1.0","0.8","0.006800000000000005","9.99972110278397"
"0.9","1.0","0.8","0.006900000000000005","9.99971151687146"
"0.9","1.0","0.8","0.007000000000000005","9.99974082758084"
"0.9","1.0","0.8","0.007100000000000006","9.999747918549193"
"0.9","1.0","0.8","0.007200000000000006","9.999748001061938"
"0.9","1.0","0.8","0.007300000000000006","9.999731604036473"
"0.9","1.0","0.8","0.007400000000000006","9.999736806051606"
"0.9","1.0","0.8","0.007500000000000007","9.99972724892012"
"0.9","1.0","0.8","0.007600000000000007","9.999725682631045"
"0.9","1.0","0.8","0.007700000000000007","9.999658729053802"
"0.9","1.0","0.8","0.0078000000000000074","9.999685600372478"
"0.9","1.0","0.8","0.007900000000000008","9.99970780394379"
"0.9","1.0","0.8","0.008000000000000007","9.999698095437404"
"0.9","1.0","0.8","0.008100000000000007","9.99970034791421"
"0.9","1.0","0.8","0.008200000000000006","9.999701889992835"
"0.9","1.0","0.8","0.008300000000000005","9.999732293868709"
"0.9","1.0","0.8","0.008400000000000005","9.99968683061407"
"0.9","1.0","0.8","0.008500000000000004","9.999677749300158"
"0.9","1.0","0.8","0.008600000000000003","9.99968513887366"
"0.9","1.0","0.8","0.008700000000000003","9.999659086097786"
"0.9","1.0","0.8","0.008800000000000002","9.999658339200215"
"0.9","1.0","0.8","0.008900000000000002","9.999700646934183"
"0.9","1.0","0.8","0.009000000000000001","9.999638176980287"
"0.9","1.0","0.8","0.0091","9.999669801254324"
"0.9","1.0","0.8","0.0092","9.99960583676118"
"0.9","1.0","0.8","0.0093","9.999668414811785"
"0.9","1.0","0.8","0.009399999999999999","9.999701388667038"
"0.9","1.0","0.8","0.009499999999999998","9.999609196733546"
"0.9","1.0","0.8","0.009599999999999997","9.99963011379189"
"0.9","1.0","0.8","0.009699999999999997","9.999636992906959"
"0.9","1.0","0.8","0.009799999999999996","9.999608381276294"
"0.9","1.0","0.8","0.009899999999999996","9.999618763686453"
"0.9","1.0","0.8","0.009999999999999995","9.99962613296774"
"0.9","1.0","0.9","1.0E-4","9.999883261725483"
