"p_mutation","sigma_start","tau_apos_scale","tau_scale","Score"
"1.0","1.0","0.4","0.4","9.938664801861055"
"1.0","1.0","0.4","0.5","9.955708951700036"
"1.0","1.0","0.4","0.6","9.967879952637167"
"1.0","1.0","0.4","0.7","9.969021308248099"
"1.0","1.0","0.4","0.7999999999999999","9.980113181525349"
"1.0","1.0","0.4","0.8999999999999999","9.994057181911963"
"1.0","1.0","0.4","0.9999999999999999","9.977200555928409"
"1.0","1.0","0.4","1.0999999999999999","9.977200555928409"
"1.0","1.0","0.4","1.2","9.977200555928409"
"1.0","1.0","0.4","1.3","9.977200555928409"
"1.0","1.0","0.4","1.4000000000000001","9.977200555928409"
"1.0","1.0","0.4","1.5000000000000002","9.977200555928409"
"1.0","1.0","0.4","1.6000000000000003","9.977200555928409"
"1.0","1.0","0.4","1.7000000000000004","9.977200555928409"
"1.0","1.0","0.4","1.8000000000000005","9.977200555928409"
"1.0","1.0","0.4","1.9000000000000006","9.977200555928409"
"1.0","1.0","0.5","0.1","9.716035255913223"
"1.0","1.0","0.5","0.2","9.792402728672265"
"1.0","1.0","0.5","0.30000000000000004","9.816897054556406"
"1.0","1.0","0.5","0.4","9.837500395193667"
"1.0","1.0","0.5","0.5","9.865828657814294"
"1.0","1.0","0.5","0.6","9.879122124438938"
"1.0","1.0","0.5","0.7","9.865759437033049"
"1.0","1.0","0.5","0.7999999999999999","9.896790291665514"
"1.0","1.0","0.5","0.8999999999999999","9.930197601057653"
"1.0","1.0","0.5","0.9999999999999999","9.983981435697844"
"1.0","1.0","0.5","1.0999999999999999","9.983981435697844"
"1.0","1.0","0.5","1.2","9.983981435697844"
"1.0","1.0","0.5","1.3","9.983981435697844"
"1.0","1.0","0.5","1.4000000000000001","9.983981435697844"
"1.0","1.0","0.5","1.5000000000000002","9.983981435697844"
"1.0","1.0","0.5","1.6000000000000003","9.983981435697844"
"1.0","1.0","0.5","1.7000000000000004","9.983981435697844"
"1.0","1.0","0.5","1.8000000000000005","9.983981435697844"
"1.0","1.0","0.5","1.9000000000000006","9.983981435697844"
"1.0","1.0","0.6","0.1","9.607494626682762"
"1.0","1.0","0.6","0.2","9.597897561690251"
"1.0","1.0","0.6","0.30000000000000004","9.499822729055417"
"1.0","1.0","0.6","0.4","9.540958742461642"
"1.0","1.0","0.6","0.5","9.454737947483626"
"1.0","1.0","0.6","0.6","9.560285233994751"
"1.0","1.0","0.6","0.7","9.364399681590367"
"1.0","1.0","0.6","0.7999999999999999","9.405305929880686"
"1.0","1.0","0.6","0.8999999999999999","9.352215810389982"
"1.0","1.0","0.6","0.9999999999999999","9.598664901146204"
"1.0","1.0","0.6","1.0999999999999999","9.598664901146204"
"1.0","1.0","0.6","1.2","9.598664901146204"
"1.0","1.0","0.6","1.3","9.598664901146204"
"1.0","1.0","0.6","1.4000000000000001","9.598664901146204"
"1.0","1.0","0.6","1.5000000000000002","9.598664901146204"
"1.0","1.0","0.6","1.6000000000000003","9.598664901146204"
"1.0","1.0","0.6","1.7000000000000004","9.598664901146204"
"1.0","1.0","0.6","1.8000000000000005","9.598664901146204"
"1.0","1.0","0.6","1.9000000000000006","9.598664901146204"
"1.0","1.0","0.7","0.1","9.212064181089223"
"1.0","1.0","0.7","0.2","9.217366694477539"
"1.0","1.0","0.7","0.30000000000000004","9.065371582593945"
"1.0","1.0","0.7","0.4","8.836131758780597"
"1.0","1.0","0.7","0.5","8.689219787326966"
"1.0","1.0","0.7","0.6","8.234778587619447"
"1.0","1.0","0.7","0.7","7.907806106925463"
"1.0","1.0","0.7","0.7999999999999999","7.38663678799765"
"1.0","1.0","0.7","0.8999999999999999","6.306102932605814"
"1.0","1.0","0.7","0.9999999999999999","5.25211325796575"
"1.0","1.0","0.7","1.0999999999999999","5.25211325796575"
"1.0","1.0","0.7","1.2","5.25211325796575"
"1.0","1.0","0.7","1.3","5.25211325796575"
"1.0","1.0","0.7","1.4000000000000001","5.25211325796575"
"1.0","1.0","0.7","1.5000000000000002","5.25211325796575"
"1.0","1.0","0.7","1.6000000000000003","5.25211325796575"
"1.0","1.0","0.7","1.7000000000000004","5.25211325796575"
"1.0","1.0","0.7","1.8000000000000005","5.25211325796575"
"1.0","1.0","0.7","1.9000000000000006","5.25211325796575"
"1.0","1.0","0.7999999999999999","0.1","8.993030381263015"
"1.0","1.0","0.7999999999999999","0.2","8.422353754463444"
"1.0","1.0","0.7999999999999999","0.30000000000000004","8.09040221817919"
"1.0","1.0","0.7999999999999999","0.4","7.427199925806629"
