Alpha,Mutation_Step_Size_Start,Tau_Scale,Tau_Prime_Scale,Fitness
0.35,0.55,0.9,0.9,9.99996433133497
0.35,0.55,0.9,1.1,9.99997036528503
0.35,0.55,0.9,1.3,9.99970796697558
0.35,0.55,1.1,0.7,9.8806332710624
0.35,0.55,1.1,0.9,9.52921899390334
0.35,0.55,1.1,1.1,9.232956941342
0.35,0.55,1.1,1.3,9.39005306813409
0.35,0.55,1.3,0.7,9.18208492017785
0.35,0.55,1.3,0.9,9.53641210784111
0.35,0.55,1.3,1.1,9.44507844840145
0.35,0.55,1.3,1.3,8.61058103514948
0.35,0.8,0.7,0.7,9.99998618292434
0.35,0.8,0.7,0.9,9.9999881027467
0.35,0.8,0.7,1.1,9.99998702105267
0.35,0.8,0.7,1.3,9.99998597200167
0.35,0.8,0.9,0.7,9.99997626394174
0.35,0.8,0.9,0.9,9.99997390195493
0.35,0.8,0.9,1.1,9.99990115793891
0.35,0.8,0.9,1.3,9.99996232238572
0.35,0.8,1.1,0.7,9.77508014227558
0.35,0.8,1.1,0.9,9.35945598922728
0.35,0.8,1.1,1.1,9.53785619429451
0.35,0.8,1.1,1.3,9.67189250654684
0.35,0.8,1.3,0.7,8.94035284953776
0.35,0.8,1.3,0.9,9.13205242475453
0.35,0.8,1.3,1.1,9.48211633493493
0.35,0.8,1.3,1.3,9.66727035835835
0.35,1.05,0.7,0.7,9.99999211965335
0.35,1.05,0.7,0.9,9.99998794606008
0.35,1.05,0.7,1.1,9.99997738883299
0.35,1.05,0.7,1.3,9.99998345326917
0.35,1.05,0.9,0.7,9.99998347538671
0.35,1.05,0.9,0.9,9.999982463358
0.35,1.05,0.9,1.1,9.99997453933019
0.35,1.05,0.9,1.3,9.9999100943152
0.35,1.05,1.1,0.7,9.45618173764241
0.35,1.05,1.1,0.9,9.76447167559791
0.35,1.05,1.1,1.1,8.20827641323251
0.35,1.05,1.1,1.3,8.99295040621876
0.35,1.05,1.3,0.7,9.32604916920823
0.35,1.05,1.3,0.9,9.21697988942372
0.35,1.05,1.3,1.1,9.08893276907488
0.35,1.05,1.3,1.3,8.74402947774968
0.35,1.3,0.7,0.7,9.99999157205208
0.35,1.3,0.7,0.9,9.99999155824384
0.35,1.3,0.7,1.1,9.99998245545465
0.35,1.3,0.7,1.3,9.99998616256119
0.35,1.3,0.9,0.7,9.99998490049073
0.35,1.3,0.9,0.9,9.99996964562719
0.35,1.3,0.9,1.1,9.99997434592855
0.35,1.3,0.9,1.3,9.99995785011687
0.35,1.3,1.1,0.7,9.2974307635852
0.35,1.3,1.1,0.9,9.47951610171352
0.35,1.3,1.1,1.1,8.43918272828077
0.35,1.3,1.1,1.3,9.80277064802659
0.35,1.3,1.3,0.7,8.80707849528854
0.35,1.3,1.3,0.9,8.67525740848249
0.35,1.3,1.3,1.1,8.64426542900452
0.35,1.3,1.3,1.3,8.78110294186063
0.35,1.55,0.7,0.7,9.99998997347076
0.35,1.55,0.7,0.9,9.99998872156307
0.35,1.55,0.7,1.1,9.99998586110137
0.35,1.55,0.7,1.3,9.99998602301156
0.35,1.55,0.9,0.7,9.99998197333744
0.35,1.55,0.9,0.9,9.99996338694783
0.35,1.55,0.9,1.1,9.99994992683293
0.35,1.55,0.9,1.3,9.99995219342628
0.35,1.55,1.1,0.7,9.13856000540355
0.35,1.55,1.1,0.9,9.00682658162416
0.35,1.55,1.1,1.1,9.79344807309741
0.35,1.55,1.1,1.3,8.30646146010973
0.35,1.55,1.3,0.7,8.96489164327838
0.35,1.55,1.3,0.9,8.72443721676163
0.35,1.55,1.3,1.1,8.38725432268558
0.35,1.55,1.3,1.3,7.56750503375016
0.4,0.3,0.7,0.7,9.9999840805364
0.4,0.3,0.7,0.9,9.9999720839835
0.4,0.3,0.7,1.1,9.99997675031844
0.4,0.3,0.7,1.3,9.99997501024413
0.4,0.3,0.9,0.7,9.99997798453081
0.4,0.3,0.9,0.9,9.9999815982149
0.4,0.3,0.9,1.1,9.99997301804681
0.4,0.3,0.9,1.3,9.99996262993555
0.4,0.3,1.1,0.7,9.56767861205267
0.4,0.3,1.1,0.9,9.32145776699927
0.4,0.3,1.1,1.1,9.6421234827771
0.4,0.3,1.1,1.3,9.21505321015847
0.4,0.3,1.3,0.7,9.3260951254497
0.4,0.3,1.3,0.9,9.12988240556462
0.4,0.3,1.3,1.1,9.7328361726495
